Item,Description,Cost,Price
6672019,BUSHING,3.05,13.76
6672021,"BELT, DRIVE",28.77,80.57
6672129,"BELT, DRIVE",43.85,107.43
6672152,"BELT, DRIVE",35.24,78.02
6672190,DRAIN VALVE,10.43,33.33
6672227,SHIM,1.32,16.17
6672249,NUT,14.6,34.26
6672266,SNAP RING,2.19,8.58
6672272,WASHER,0.33,1.8299999999999998
6672273,SCREW,1.16,6.22
6672274,SCREW,1.0,7.3
6672275,GASKET,3.91,17.07
6672276,"LENS, RED TAILGATE",8.44,20.68
6672277,BRACKET,8.42,28.949999999999996
6672279,"MOUNT, LIGHT RUBBER",19.52,62.36
6672338,O RING,3.56,14.54
6672388,TUBE,0.91,5.91
6672389,"PUMP, FUEL INJ",581.66,1031.15
6672391,SHIM,3.7,14.97
6672421,WASHER,2.02,7.109999999999999
6672427,FUEL PUMP,98.44,152.91
6672436,SEAL,5.09,14.36
6672440,MANIFOLD,216.01,285.41999999999996
6672441,GASKET,9.1,26.81
6672445,"BELT, DRIVE",34.89,88.18
6672450,SOLENOID VALVE,191.88,280.84000000000003
6672453,PRIMARY FILTER,18.67,37.14
6672467,"FILTER, AIR OUTER ENGINE",17.15,27.279999999999998
6672468,"FILTER, AIR INNER ENG",18.15,28.71
6672469,"ASSY, COVER",26.52,68.45
6672471,"VALVE, SOLENOID",114.34,200.92000000000002
6672481,BRACKET,4.98,16.92
6672489,"GASKET, COVER HEAD CYL",18.94,61.555
6672491,CAP,21.53,62.61
6672504,"BRUSH,POLY FLAT 32""",10.11,35.61
6672506,"BRUSH,POLY CONVOLUTED 32""",11.41,23.21
6672513,"PUMP, GEAR",857.21,1442.15
6672513REM,"PUMP, GEAR",642.9,1055.28
6672515,SEAL KIT,13.12,28.73
6672535,RELIEF VALVE,109.26,189.37
6672539,PLUG,39.75,101.88
6672558,WING NUT,6.63,20.65
6672580,LINING KIT,173.6,277.49
6672581,REPAIR KIT,89.86,139.02
6672582,SPRING KIT,73.86,139.01999999999998
6672623,"BEARING, FLANGE",86.19,161.87
6672713,"GASKET, HEAD CYL",77.19,146.13
6672748,BEARING,43.97,81.31
6672749,SEAL,10.88,38.64
6672756,SEAL KIT,20.95,37.24
6672770,COVER,294.01,510.33
6672773,"TRACK, RUBBER(320X74X52.5) 12"" BOBCAT",753.46,1264.73
6672774,RBR TRACK,828.9,1787.08
6672782,"PUMP, WATER",445.92,684.73
6672807,BEARING,39.35,91.49
6672808,BEARING,40.89,128.14
6672809,SEAL,6.42,26.720000000000002
6672812,GASKET,6.53,20.64
6672813,GASKET,7.16,21.27
6672818,NUT,8.92,18.009999999999998
6672819,PLUG,9.47,27.96
6672821,"MOTOR ,DRIVE HYD",968.93,1664.71
6672850,"BRUSH, GUTTER",124.45,213.95
6672853,RETAINER RING,15.67,34.61
6672854,LOCKPLATE,19.06,95.1
6672855,LOCK TAB,23.14,50.43
6672863,"VALVE, SOLENOID",97.02,189.85
6672879,LINER,59.09,137.75
6672885,GASKET,1.53,8.239999999999998
6672889,ROD BRG,19.69,53.21
6672896,RING SET,51.16,112.25
6672900,BOLT,6.56,16.15
6672933,SEAL,0.33,8.36
6672957,GEARBOX,426.62,759.53
6672980,FILTER,33.75,48.24
6672983,BRACKET,9.53,30.97
6672989,LOUVER,27.49,49.49
6673010,HOSE,17.23,73.03
6673023,MOUNT,58.43,139.03
